Year,Num_Record,TotalCatch,CatchJan_Apr,CatchMay_Aug,CatchSep_Dec,Gillnet,Seine,Trawl,SOK,Section,Name,Latitude,Longitude
1950,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1951,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1952,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1953,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1954,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1955,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1956,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1957,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1958,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1959,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1960,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1961,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1962,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1963,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1964,4,312,312,0,0,0,312,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1965,2,285,285,0,0,0,285,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1966,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1967,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1968,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1969,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1970,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1971,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1972,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1973,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1974,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1975,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1976,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1977,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1978,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1979,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1980,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1981,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1982,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1983,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1984,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1985,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1986,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1987,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1988,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1989,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1990,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1991,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1992,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1993,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1994,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1995,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1996,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1997,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1998,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1999,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2000,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2001,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2002,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2003,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2004,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2005,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2006,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2007,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2008,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2009,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2010,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2011,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2012,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2013,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2014,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
2015,0,0,0,0,0,0,0,0,0,1,Tasu Sound & Gowgaia Bay,52.406,-131.52
1950,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1951,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1952,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1953,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1954,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1955,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1956,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1957,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1958,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1959,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1960,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1961,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1962,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1963,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1964,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1965,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1966,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1967,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1968,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1969,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1970,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1971,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1972,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1973,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1974,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1975,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1976,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1977,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1978,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1979,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1980,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1981,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1982,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1983,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1984,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1985,3,199,199,0,0,0,199,0,0,2,Port Louis,53.7084,-132.959
1986,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1987,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1988,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1989,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1990,46,1967,1967,0,0,0,1967,0,0,2,Port Louis,53.7084,-132.959
1991,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1992,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1993,4,126,126,0,0,0,126,0,0,2,Port Louis,53.7084,-132.959
1994,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1995,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1996,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1997,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1998,1,179,179,0,0,0,179,0,0,2,Port Louis,53.7084,-132.959
1999,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2000,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2001,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2002,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2003,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2004,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2005,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2006,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2007,1,91,91,0,0,0,0,0,91,2,Port Louis,53.7084,-132.959
2008,1,182,182,0,0,0,0,0,182,2,Port Louis,53.7084,-132.959
2009,1,91,91,0,0,0,0,0,91,2,Port Louis,53.7084,-132.959
2010,1,364,364,0,0,0,0,0,364,2,Port Louis,53.7084,-132.959
2011,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2012,1,182,182,0,0,0,0,0,182,2,Port Louis,53.7084,-132.959
2013,1,182,182,0,0,0,0,0,182,2,Port Louis,53.7084,-132.959
2014,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
2015,0,0,0,0,0,0,0,0,0,2,Port Louis,53.7084,-132.959
1950,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1951,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1952,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1953,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1954,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1955,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1956,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1957,1,106,106,0,0,0,106,0,0,3,Rennell Sound,53.31,-132.433
1958,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1959,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1960,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1961,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1962,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1963,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1964,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1965,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1966,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1967,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1968,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1969,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1970,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1971,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1972,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1973,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1974,7,403,403,0,0,0,403,0,0,3,Rennell Sound,53.31,-132.433
1975,6,449,449,0,0,0,449,0,0,3,Rennell Sound,53.31,-132.433
1976,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1977,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1978,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1979,10,107,107,0,0,0,107,0,0,3,Rennell Sound,53.31,-132.433
1980,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1981,5,329,329,0,0,0,329,0,0,3,Rennell Sound,53.31,-132.433
1982,8,279,279,0,0,0,279,0,0,3,Rennell Sound,53.31,-132.433
1983,15,715,715,0,0,0,715,0,0,3,Rennell Sound,53.31,-132.433
1984,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1985,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1986,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1987,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1988,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1989,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1990,4,305,305,0,0,0,305,0,0,3,Rennell Sound,53.31,-132.433
1991,48,2558,2558,0,0,0,2558,0,0,3,Rennell Sound,53.31,-132.433
1992,30,1283,1283,0,0,0,1283,0,0,3,Rennell Sound,53.31,-132.433
1993,35,753,753,0,0,0,753,0,0,3,Rennell Sound,53.31,-132.433
1994,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1995,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1996,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1997,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1998,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1999,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2000,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2001,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2002,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2003,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2004,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2005,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2006,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2007,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2008,1,91,91,0,0,0,0,0,91,3,Rennell Sound,53.31,-132.433
2009,1,91,91,0,0,0,0,0,91,3,Rennell Sound,53.31,-132.433
2010,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2011,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2012,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2013,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2014,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
2015,0,0,0,0,0,0,0,0,0,3,Rennell Sound,53.31,-132.433
1950,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1951,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1952,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1953,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1954,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1955,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1956,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1957,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1958,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1959,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1960,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1961,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1962,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1963,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1964,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1965,6,966,966,0,0,0,966,0,0,5,Englefield Bay,53.0085,-132.23
1966,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1967,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1968,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1969,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1970,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1971,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1972,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1973,8,706,706,0,0,0,706,0,0,5,Englefield Bay,53.0085,-132.23
1974,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1975,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1976,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1977,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1978,7,575,575,0,0,0,575,0,0,5,Englefield Bay,53.0085,-132.23
1979,31,583,583,0,0,0,583,0,0,5,Englefield Bay,53.0085,-132.23
1980,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1981,21,441,441,0,0,0,441,0,0,5,Englefield Bay,53.0085,-132.23
1982,60,946,946,0,0,0,946,0,0,5,Englefield Bay,53.0085,-132.23
1983,57,1803,1803,0,0,0,1803,0,0,5,Englefield Bay,53.0085,-132.23
1984,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1985,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1986,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1987,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
1988,0,0,0,0,0,0,0,0,0,5,Englefield Bay,53.0085,-132.23
